date,country,confirmed,recovered,deaths,country_code,S1_School closing,S1_IsGeneral,S2_Workplace closing,S2_IsGeneral,S3_Cancel public events,S3_IsGeneral,S4_Close public transport,S4_IsGeneral,S5_Public information campaigns,S5_IsGeneral,S6_Restrictions on internal movement,S6_IsGeneral,S7_International travel controls,S8_Fiscal measures,S9_Monetary measures,S10_Emergency investment in health care,S11_Investment in Vaccines,S12_Testing framework,S13_Contact tracing,StringencyIndex,StringencyIndexForDisplay,pct_positive,test_by_million
2020-01-29,Uzbekistan,0.0,0.0,0.0,UZB,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,0.0,16.0,0.0,0.0,1.0,0.0,7.14,7.14,,
2020-01-30,Uzbekistan,0.0,0.0,0.0,UZB,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,0.0,16.0,0.0,0.0,1.0,0.0,7.14,7.14,,
2020-01-31,Uzbekistan,0.0,0.0,0.0,UZB,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,0.0,16.0,0.0,0.0,1.0,0.0,7.14,7.14,,
2020-02-01,Uzbekistan,0.0,0.0,0.0,UZB,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,0.0,16.0,0.0,0.0,1.0,0.0,7.14,7.14,,
2020-02-02,Uzbekistan,0.0,0.0,0.0,UZB,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,0.0,16.0,0.0,0.0,1.0,0.0,7.14,7.14,,
2020-02-03,Uzbekistan,0.0,0.0,0.0,UZB,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,0.0,16.0,0.0,0.0,1.0,0.0,7.14,7.14,,
2020-02-04,Uzbekistan,0.0,0.0,0.0,UZB,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,0.0,16.0,0.0,0.0,1.0,0.0,7.14,7.14,,
2020-02-05,Uzbekistan,0.0,0.0,0.0,UZB,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,0.0,16.0,0.0,0.0,1.0,0.0,7.14,7.14,,
2020-02-06,Uzbekistan,0.0,0.0,0.0,UZB,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,0.0,16.0,0.0,0.0,1.0,0.0,7.14,7.14,,
2020-02-07,Uzbekistan,0.0,0.0,0.0,UZB,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,0.0,16.0,0.0,0.0,1.0,0.0,7.14,7.14,,
2020-02-08,Uzbekistan,0.0,0.0,0.0,UZB,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,0.0,16.0,0.0,0.0,1.0,0.0,7.14,7.14,,
